Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
15514,Faculty of Medicine,U,PATH2201,Processes in Disease,050226,1,2021,Term 3,5,21T3,20215,False,2.51,,,,8.54,18.59,39.2,30.15,0.5,0.5,,,,,,,,,,,2.51,1.0,,,2.54,8.63,18.78,39.6,30.45,False,,52.41
15515,Faculty of Medicine,U,PATH2202,Proc in Disease Hlth and Ex Sc,059380,1,2021,Term 3,5,21T3,20215,False,2.82,,,,12.68,22.54,38.03,23.94,,,,,,,,,,,,,2.82,,,,2.82,12.68,22.54,38.03,23.94,False,,45.77
15516,Faculty of Medicine,U,PATH3207,Musculoskeletal Diseases,052605,1,2021,Term 3,5,21T3,20215,False,1.64,,,,21.31,37.7,34.43,4.92,,,,,,,,,,,,,1.64,,,,1.64,21.31,37.7,34.43,4.92,False,,29.92
15517,Faculty of Medicine and Health,U,PATH3209,Clinical Immunology,066282,1,2021,Term 3,5,21T3,20215,False,4.76,,,,,14.29,42.86,38.1,,,,,,,,,,,,,4.76,,,,4.76,0.0,14.29,42.86,38.1,False,,58.34
15518,Faculty of Medicine and Health,U,PHAR2011,Introductory Pharmacology and,013811,1,2021,Term 3,5,21T3,20215,False,6.84,,,0.38,36.5,29.66,19.01,6.08,0.76,0.76,,,,,,,,,,,7.22,1.52,,,7.33,37.06,30.12,19.3,6.17,False,,16.02
15519,Faculty of Medicine,U,PHAR3101,"Drug Discovery, Design & Devel",056627,1,2021,Term 3,5,21T3,20215,False,8.96,,,1.49,32.84,23.88,23.88,8.96,,,,,,,,,,,,,10.45,,,,10.45,32.84,23.88,23.88,8.96,False,,16.42
15520,Faculty of Medicine,P,PHAR9104,Regulatory Affairs,013889,1,2021,Term 3,5,21T3,20215,False,,,,,23.81,28.57,42.86,4.76,,,,,,,,,,,,,,,,,0.0,23.81,28.57,42.86,4.76,False,,33.33
15521,Faculty of Medicine,P,PHAR9118,Therapeutics,013903,1,2021,Term 3,5,21T3,20215,False,5.88,,,,,23.53,58.82,11.76,,,,,,,,,,,,,5.88,,,,5.88,0.0,23.53,58.82,11.76,False,,41.17
15522,Faculty of Medicine,P,PHAR9121,Pharmacovigilance,050218,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15523,Faculty of Medicine and Health,U,PHCM2005,Public Health Surveillance,065360,1,2021,Term 3,5,21T3,20215,False,2.56,,,,2.56,30.77,48.72,12.82,2.56,,,,,,,,,,,,2.56,2.56,,,2.63,2.63,31.58,50.0,13.16,False,,43.42
15524,Faculty of Medicine and Health,U,PHCM2007,Health Leadership,065358,1,2021,Term 3,5,21T3,20215,False,14.63,,4.88,4.88,7.32,4.88,29.27,34.15,,,,,,,,,,,,,24.39,,,,24.39,7.32,4.88,29.27,34.15,False,,25.61
15525,Faculty of Medicine and Health,U,PHCM3003,Public Health Capstone,065305,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15526,Faculty of Medicine and Health,P,PHCM9012,Health Promotion & Social Pers,012815,1,2021,Term 3,5,21T3,20215,False,3.25,,0.27,1.36,11.38,33.6,39.3,9.21,1.08,0.54,,,,,,,,,,,4.88,1.62,,,4.96,11.57,34.15,39.95,9.36,False,,32.91
15527,Faculty of Medicine and Health,P,PHCM9050,Immunisation Policy & Practice,063386,1,2021,Term 3,5,21T3,20215,False,5.13,,2.56,,5.13,7.69,33.33,46.15,,,,,,,,,,,,,7.69,,,,7.69,5.13,7.69,33.33,46.15,False,,57.05
